eventDate,cleanDate,sport,sportSlug,levelSlug,levelLabel,eventTime,homeOrAway,vsOrAt,opponent,opponentMascot,opponentComplete,location,isCancelled,isTimeTBD,postSlug,posterFile,eventId
2026-12-04,12/04,Boys Basketball,boys-basketball,jv,JV,05:30 PM,Away,@,Austintown Fitch,Falcons,Austintown Fitch Falcons,Austintown Fitch High School,false,false,2026-12-04_jv_boys-basketball,2026-12-04_jv_boys-basketball.jpg,283368cc-8e9d-44b0-8d41-ef42fbcb8123
2026-12-08,12/08,Boys Basketball,boys-basketball,jv,JV,05:30 PM,Away,@,Boardman,Spartans,Boardman Spartans,Boardman High School,false,false,2026-12-08_jv_boys-basketball,2026-12-08_jv_boys-basketball.jpg,f59c21a2-f50b-459b-be82-bf47965ddc57
2026-12-15,12/15,Boys Basketball,boys-basketball,jv,JV,05:30 PM,Away,@,Lakeview,Bulldogs,Lakeview Bulldogs,Lakeview High School,false,false,2026-12-15_jv_boys-basketball,2026-12-15_jv_boys-basketball.jpg,336fd3d4-04f3-4ad3-8f27-aa97457897ac
2026-12-18,12/18,Boys Basketball,boys-basketball,jv,JV,05:30 PM,Away,@,Niles,Red Dragons,Niles Red Dragons,Niles McKinley High School,false,false,2026-12-18_jv_boys-basketball,2026-12-18_jv_boys-basketball.jpg,d5fbefaf-02c4-48ca-8446-f8c14e62b921
2026-12-22,12/22,Boys Basketball,boys-basketball,jv,JV,05:30 PM,Home,vs,Canfield,Cardinals,Canfield Cardinals,Poland Seminary High School,false,false,2026-12-22_jv_boys-basketball,2026-12-22_jv_boys-basketball.jpg,d1e2ad0d-39ee-46be-a53f-55fa4f52707f
2026-12-29,12/29,Boys Basketball,boys-basketball,jv,JV,05:30 PM,Away,@,Campbell,Red Devils,Campbell Red Devils,Campbell Memorial High School,false,false,2026-12-29_jv_boys-basketball,2026-12-29_jv_boys-basketball.jpg,3f092254-90ea-4cda-973b-ab8bc27afb6c
2027-01-05,01/05,Boys Basketball,boys-basketball,jv,JV,05:30 PM,Away,@,Girard,Indians,Girard Indians,Girard Sr High School,false,false,2027-01-05_jv_boys-basketball,2027-01-05_jv_boys-basketball.jpg,baccdadb-02dd-41d0-8e82-cb0cc92d9731
2027-01-08,01/08,Boys Basketball,boys-basketball,jv,JV,05:30 PM,Home,vs,Struthers,Wildcats,Struthers Wildcats,Poland Seminary High School,false,false,2027-01-08_jv_boys-basketball,2027-01-08_jv_boys-basketball.jpg,437af962-7333-4747-a133-4ace2285602a
2027-01-09,01/09,Boys Basketball,boys-basketball,jv,JV,11:00 AM,Away,@,Springfield,Tigers,Springfield Tigers,Springfield High School,false,false,2027-01-09_jv_boys-basketball,2027-01-09_jv_boys-basketball.jpg,d1f94406-fafc-4d87-85a2-528695e23d77
2027-01-12,01/12,Boys Basketball,boys-basketball,jv,JV,05:30 PM,Home,vs,Hubbard,Eagles,Hubbard Eagles,Poland Seminary High School,false,false,2027-01-12_jv_boys-basketball,2027-01-12_jv_boys-basketball.jpg,c971b293-faa2-4f7b-a79f-a9184c379252
