eventDate,cleanDate,sport,sportSlug,levelSlug,levelLabel,eventTime,homeOrAway,vsOrAt,opponent,opponentMascot,opponentComplete,location,isCancelled,isTimeTBD,postSlug,posterFile,eventId
2026-10-10,10/10,Volleyball,volleyball,8th,8th Grade,09:00 AM,Away,@,Northeast 8 Tournament,,Northeast 8 Tournament,Girard Sr High School,false,false,2026-10-10_8th_volleyball,2026-10-10_8th_volleyball.jpg,dfa61f93-6f7e-4562-9381-ef32e5818eaf
2026-10-12,10/12,Volleyball,volleyball,8th,8th Grade,TBA,Away,@,Ne 8 Tournament,,Ne 8 Tournament,TBD,false,true,2026-10-12_8th_volleyball,2026-10-12_8th_volleyball.jpg,3b73175c-51d7-45a2-8847-a4b98c5e2356
2026-10-14,10/14,Volleyball,volleyball,8th,8th Grade,TBA,Away,@,NE8 Championship,,NE8 Championship,TBD,false,true,2026-10-14_8th_volleyball,2026-10-14_8th_volleyball.jpg,d48ebdcc-f186-4ea9-a3b9-9af6d50cc3f0
2026-12-07,12/07,Boys Basketball,boys-basketball,8th,8th Grade,06:00 PM,Home,vs,South Range Middle School,,South Range Middle School,Poland Seminary High School,false,false,2026-12-07_8th_boys-basketball,2026-12-07_8th_boys-basketball.jpg,c76f067d-88b2-4e24-8789-e28246ba87e0
2026-12-07,12/07,Girls Basketball,girls-basketball,8th,8th Grade,06:00 PM,Away,@,South Range Middle School,,South Range Middle School,South Range Middle School,false,false,2026-12-07_8th_girls-basketball,2026-12-07_8th_girls-basketball.jpg,4e8a096a-30d8-467d-a393-6868606d0875
2026-12-09,12/09,Boys Basketball,boys-basketball,8th,8th Grade,06:00 PM,Away,@,STRUTHERS MIDDLE SCHOOL,,STRUTHERS MIDDLE SCHOOL,STRUTHERS MIDDLE SCHOOL,false,false,2026-12-09_8th_boys-basketball,2026-12-09_8th_boys-basketball.jpg,ecd34bda-c92f-423e-895c-987f492ef14e
2026-12-09,12/09,Girls Basketball,girls-basketball,8th,8th Grade,06:00 PM,Home,vs,STRUTHERS MIDDLE SCHOOL,,STRUTHERS MIDDLE SCHOOL,Poland Seminary High School,false,false,2026-12-09_8th_girls-basketball,2026-12-09_8th_girls-basketball.jpg,4a316bfc-da58-4528-a98f-d475d632f5d2
2026-12-14,12/14,Boys Basketball,boys-basketball,8th,8th Grade,06:00 PM,Away,@,Niles Middle School,,Niles Middle School,Niles Middle School,false,false,2026-12-14_8th_boys-basketball,2026-12-14_8th_boys-basketball.jpg,dc1a54b1-074d-4190-bf82-a0dbf18e552a
2026-12-14,12/14,Girls Basketball,girls-basketball,8th,8th Grade,06:00 PM,Home,vs,Niles Middle School,,Niles Middle School,Poland Seminary High School,false,false,2026-12-14_8th_girls-basketball,2026-12-14_8th_girls-basketball.jpg,7fe643af-22e7-4dab-af0b-1b3e965865c4
2026-12-16,12/16,Boys Basketball,boys-basketball,8th,8th Grade,06:00 PM,Away,@,LAKEVIEW MIDDLE SCHOOL,,LAKEVIEW MIDDLE SCHOOL,LAKEVIEW MIDDLE SCHOOL,false,false,2026-12-16_8th_boys-basketball,2026-12-16_8th_boys-basketball.jpg,046ac8e9-c0ab-42aa-a14d-72125faa9b47
