eventDate,cleanDate,season,sport,sportSlug,levelSlug,levelLabel,eventTime,homeOrAway,vsOrAt,opponent,opponentMascot,opponentComplete,location,eventType,isCancelled,isPostponed,isTimeTBD,conferenceGame,homeScore,awayScore,result,postSlug,posterFile,eventId
2025-10-15,10/15,2025,Boys Soccer,boys-soccer,varsity,Varsity,07:00 PM,Home,vs,Sectional Tournament,,Sectional Tournament,Poland Seminary High School,Game,false,false,false,false,,,,2025-10-15_boys-soccer,2025-10-15_boys-soccer.jpg,2d384261-ebdd-4814-9903-3988701cc84d
2025-10-23,10/23,2025,Boys Soccer,boys-soccer,varsity,Varsity,07:00 PM,Home,vs,District Semi Finals,,District Semi Finals,Poland Seminary High School,Game,false,false,false,false,,,,2025-10-23_boys-soccer,2025-10-23_boys-soccer.jpg,d21ee311-a5b7-466d-9d34-2d27123bcd4c
2025-10-25,10/25,2025,Boys Soccer,boys-soccer,varsity,Varsity,07:00 PM,Away,@,Boys District Championship,,Boys District Championship,Girard High School,Game,false,false,false,false,,,,2025-10-25_boys-soccer,2025-10-25_boys-soccer.jpg,cfa6cbea-75ee-4bfb-80e2-3fe4e0d77dbe
2025-11-11,11/11,2025,Boys Soccer,boys-soccer,varsity,Varsity,06:00 PM,Home,vs,Boys Soccer Banquet,,Boys Soccer Banquet,Poland Seminary High School,Game,false,false,false,false,,,,2025-11-11_boys-soccer,2025-11-11_boys-soccer.jpg,94a9a928-989b-4382-ad4b-63386a93cd13
2026-01-11,01/11,2025,Boys Soccer,boys-soccer,varsity,Varsity,01:00 PM,Home,vs,Practice: Open Gym,,Practice: Open Gym,Poland Seminary High School,Practice,false,false,false,false,,,,2026-01-11_boys-soccer,2026-01-11_boys-soccer.jpg,cea8f2e8-40bb-440e-9614-75ca38613f71
2026-01-18,01/18,2025,Boys Soccer,boys-soccer,varsity,Varsity,01:00 PM,Home,vs,Practice: Open Gym,,Practice: Open Gym,Poland Seminary High School,Practice,false,false,false,false,,,,2026-01-18_boys-soccer,2026-01-18_boys-soccer.jpg,25f10ee9-3d1a-4970-9698-9c4574eba6f1
2026-01-25,01/25,2025,Boys Soccer,boys-soccer,varsity,Varsity,01:00 PM,Home,vs,Practice: Open Gym,,Practice: Open Gym,Poland Seminary High School,Practice,false,false,false,false,,,,2026-01-25_boys-soccer,2026-01-25_boys-soccer.jpg,ac45b626-c772-4d97-b1dc-ae8886d108b0
2026-03-15,03/15,2025,Boys Soccer,boys-soccer,varsity,Varsity,05:30 PM,Home,vs,Practice: Soccer (Boys V) Practice,,Practice: Soccer (Boys V) Practice,Poland Seminary High School,Practice,false,false,false,false,,,,2026-03-15_boys-soccer,2026-03-15_boys-soccer.jpg,cbbce691-37a9-4ddc-82e7-a8e81fee4207
2026-03-18,03/18,2025,Boys Soccer,boys-soccer,varsity,Varsity,06:30 PM,Home,vs,Boys Soccer Parent Meeting,,Boys Soccer Parent Meeting,Poland Seminary High School,Game,false,false,false,false,,,,2026-03-18_boys-soccer,2026-03-18_boys-soccer.jpg,e560ac8e-853a-4e82-9c29-4283b20383df
2026-03-22,03/22,2025,Boys Soccer,boys-soccer,varsity,Varsity,05:30 PM,Home,vs,Practice: Soccer (Boys V) Practice,,Practice: Soccer (Boys V) Practice,Poland Seminary High School,Practice,false,false,false,false,,,,2026-03-22_boys-soccer,2026-03-22_boys-soccer.jpg,372235aa-d50a-4426-9fb8-2bed6a0d87e6
