eventDate,cleanDate,sport,sportSlug,eventTime,homeOrAway,vsOrAt,opponent,opponentMascot,opponentComplete,location,isCancelled,isTimeTBD,postSlug,posterFile,eventId
2026-08-17,08/17,Girls Soccer,girls-soccer,07:00 PM,Away,@,Howland,Tigers,Howland Tigers,Howland High School,false,false,2026-08-17_girls-soccer,2026-08-17_girls-soccer.jpg,ad73135e-9436-4522-a25a-947245f0cf39
2026-08-20,08/20,Girls Soccer,girls-soccer,07:00 PM,Away,@,Hubbard,Eagles,Hubbard Eagles,Hubbard High School,false,false,2026-08-20_girls-soccer,2026-08-20_girls-soccer.jpg,5a52d88a-ed64-48a2-8dd9-f16707c82a4b
2026-08-24,08/24,Girls Soccer,girls-soccer,07:00 PM,Away,@,Niles,Red Dragons,Niles Red Dragons,Niles McKinley High School,false,false,2026-08-24_girls-soccer,2026-08-24_girls-soccer.jpg,01568123-b0ad-43b2-ad25-ab44100d3682
2026-08-27,08/27,Girls Soccer,girls-soccer,07:00 PM,Home,vs,Struthers,Wildcats,Struthers Wildcats,Poland Seminary High School,false,false,2026-08-27_girls-soccer,2026-08-27_girls-soccer.jpg,83656ff5-8ff6-47d6-a327-b7f8b4c2c46b
2026-09-01,09/01,Girls Soccer,girls-soccer,07:00 PM,Away,@,Lakeview,Bulldogs,Lakeview Bulldogs,Lakeview High School,false,false,2026-09-01_girls-soccer,2026-09-01_girls-soccer.jpg,aa2012fe-6c66-4a72-b9b9-a89a50ce91e6
2026-09-02,09/02,Girls Soccer,girls-soccer,07:00 PM,Home,vs,Canfield,Cardinals,Canfield Cardinals,Poland Seminary High School,false,false,2026-09-02_girls-soccer,2026-09-02_girls-soccer.jpg,abbc1975-f3b6-4965-93ed-7c5bba455ecc
2026-09-10,09/10,Girls Soccer,girls-soccer,07:00 PM,Home,vs,South Range,Raiders,South Range Raiders,Poland Seminary High School,false,false,2026-09-10_girls-soccer,2026-09-10_girls-soccer.jpg,2a8411ed-242b-45b0-8111-4cd1303b4323
2026-09-14,09/14,Girls Soccer,girls-soccer,07:00 PM,Away,@,Girard,Indians,Girard Indians,Girard Sr High School,false,false,2026-09-14_girls-soccer,2026-09-14_girls-soccer.jpg,b6d1bf28-ef0a-4380-8a4e-ffc624b48c56
2026-09-17,09/17,Girls Soccer,girls-soccer,05:00 PM,Home,vs,Hubbard,Eagles,Hubbard Eagles,Poland Seminary High School,false,false,2026-09-17_girls-soccer,2026-09-17_girls-soccer.jpg,18e77d45-a840-48f9-b0e0-04871ac021f3
2026-09-21,09/21,Girls Soccer,girls-soccer,05:00 PM,Home,vs,Niles,Red Dragons,Niles Red Dragons,Poland Seminary High School,false,false,2026-09-21_girls-soccer,2026-09-21_girls-soccer.jpg,3dcc5406-b3ac-4964-a658-0720e0f5753b
2026-09-24,09/24,Girls Soccer,girls-soccer,05:00 PM,Away,@,Struthers,Wildcats,Struthers Wildcats,Struthers High School,false,false,2026-09-24_girls-soccer,2026-09-24_girls-soccer.jpg,66494a87-5981-4a9c-994e-c057fa32b962
2026-09-26,09/26,Girls Soccer,girls-soccer,12:00 PM,Away,@,West Branch,Warriors,West Branch Warriors,West Branch High School,false,false,2026-09-26_girls-soccer,2026-09-26_girls-soccer.jpg,c2dbd243-f169-47d1-935b-f7b1b900f32e
2026-09-28,09/28,Girls Soccer,girls-soccer,05:00 PM,Home,vs,Lakeview,Bulldogs,Lakeview Bulldogs,Poland Seminary High School,false,false,2026-09-28_girls-soccer,2026-09-28_girls-soccer.jpg,c9cdbb4c-0ad0-4e03-a13e-22191694e612
2026-10-01,10/01,Girls Soccer,girls-soccer,07:00 PM,Home,vs,St. Vincent-St. Mary,Fighting Irish,St. Vincent-St. Mary Fighting Irish,Poland Seminary High School,false,false,2026-10-01_girls-soccer,2026-10-01_girls-soccer.jpg,ae328dea-c7c9-45d2-aafa-c6c18d84bf07
2026-10-03,10/03,Girls Soccer,girls-soccer,12:00 PM,Home,vs,Boardman,Spartans,Boardman Spartans,Poland Seminary High School,false,false,2026-10-03_girls-soccer,2026-10-03_girls-soccer.jpg,493c93ea-e5c9-434d-902e-b5c4b5d67581
2026-10-05,10/05,Girls Soccer,girls-soccer,05:00 PM,Away,@,South Range,Raiders,South Range Raiders,South Range High School,false,false,2026-10-05_girls-soccer,2026-10-05_girls-soccer.jpg,60cc655d-635a-4a9e-94e4-4ed980e8a996
2026-10-07,10/07,Girls Soccer,girls-soccer,05:00 PM,Home,vs,Girard,Indians,Girard Indians,Poland Seminary High School,false,false,2026-10-07_girls-soccer,2026-10-07_girls-soccer.jpg,739b6fa8-6e70-4fab-a37b-6d89eb5b4899
