eventDate,cleanDate,sport,sportSlug,levelSlug,levelLabel,eventTime,homeOrAway,vsOrAt,opponent,opponentMascot,opponentComplete,location,isCancelled,isTimeTBD,postSlug,posterFile,eventId
2025-09-10,09/10,Girls Soccer,girls-soccer,jv,JV,05:30 PM,Away,@,St. Vincent-St. Mary,Fighting Irish,St. Vincent-St. Mary Fighting Irish,St. Vincent-St. Mary H.S.,false,false,2025-09-10_jv_girls-soccer,2025-09-10_jv_girls-soccer.jpg,8f3e0c04-4237-4070-8c41-fa36ba315eeb
2025-09-11,09/11,Boys Soccer,boys-soccer,jv,JV,05:00 PM,Away,@,Salem,Quakers,Salem Quakers,Salem High School,false,false,2025-09-11_jv_boys-soccer,2025-09-11_jv_boys-soccer.jpg,7b65afaa-54c5-4062-8848-c150f976e652
2025-09-11,09/11,Volleyball,volleyball,jv,JV,05:30 PM,Away,@,Niles,Red Dragons,Niles Red Dragons,Niles McKinley High School,false,false,2025-09-11_jv_volleyball,2025-09-11_jv_volleyball.jpg,12d0c2ee-cc1d-4779-8a00-858b16327ec7
2025-09-13,09/13,Football,football,jv,JV,10:00 AM,Away,@,Canfield,Cardinals,Canfield Cardinals,Canfield High School,false,false,2025-09-13_jv_football,2025-09-13_jv_football.jpg,868cdc64-d22f-43b5-a070-94bf668e4538
2025-09-13,09/13,Girls Soccer,girls-soccer,jv,JV,11:00 AM,Home,vs,West Branch,Warriors,West Branch Warriors,Poland Seminary High School,false,false,2025-09-13_jv_girls-soccer,2025-09-13_jv_girls-soccer.jpg,a54d4daa-bb92-4be1-b5a1-692b4be7147e
2025-09-15,09/15,Volleyball,volleyball,jv,JV,05:30 PM,Home,vs,United,Golden Eagles,United Golden Eagles,Poland Seminary High School,false,false,2025-09-15_jv_volleyball,2025-09-15_jv_volleyball.jpg,7ec6f45c-b6b9-4a1c-9772-8c8d73e78918
2025-09-16,09/16,Volleyball,volleyball,jv,JV,05:30 PM,Home,vs,South Range,Raiders,South Range Raiders,Poland Seminary High School,false,false,2025-09-16_jv_volleyball,2025-09-16_jv_volleyball.jpg,ca9272d5-d393-486e-ad36-63e7c7998334
2025-09-17,09/17,Boys Soccer,boys-soccer,jv,JV,06:00 PM,Away,@,West Branch,Warriors,West Branch Warriors,West Branch High School,false,false,2025-09-17_jv_boys-soccer,2025-09-17_jv_boys-soccer.jpg,6f1a7071-c12f-4674-8f44-a4ccd416f886
2025-09-18,09/18,Volleyball,volleyball,jv,JV,05:30 PM,Away,@,Lakeview,Bulldogs,Lakeview Bulldogs,Lakeview High School,false,false,2025-09-18_jv_volleyball,2025-09-18_jv_volleyball.jpg,21bb58d8-8fef-4039-bd3f-61e78010921b
2025-09-20,09/20,Football,football,jv,JV,10:00 AM,Home,vs,Hubbard,Eagles,Hubbard Eagles,Poland Seminary High School,false,false,2025-09-20_jv_football,2025-09-20_jv_football.jpg,65ab2ae6-9ee1-4768-b900-e2b7437da8dd
