eventDate,cleanDate,season,seasonType,sport,sportSlug,gender,levelSlug,levelLabel,teamSlug,eventTime,homeOrAway,vsOrAt,opponent,opponentMascot,opponentComplete,location,eventType,isCancelled,isPostponed,isTimeTBD,conferenceGame,postSlug,posterFile,eventId
2025-08-18,08/18,2025,Fall,Volleyball,volleyball,Girls,7th,7th Grade,volleyball-7th-grade,05:00 PM,Home,vs,Niles,Red Dragons,Niles Red Dragons,Poland Middle School,Game,false,false,false,true,2025-08-18_7th_volleyball,2025-08-18_7th_volleyball.jpg,e9348a36-7001-45d8-941d-3438da1ae13e
2025-08-20,08/20,2025,Fall,Football,football,Boys,7th,7th Grade,football-7th-grade,04:30 PM,Home,vs,Salem,Quakers,Salem Quakers,Poland Seminary High School,Game,false,false,false,true,2025-08-20_7th_football,2025-08-20_7th_football.jpg,6e3592e4-fd80-4087-8556-baa4e2e1915a
2025-08-20,08/20,2025,Fall,Volleyball,volleyball,Girls,7th,7th Grade,volleyball-7th-grade,05:00 PM,Away,'@,South Range,Raiders,South Range Raiders,South Range Middle School,Game,false,false,false,true,2025-08-20_7th_volleyball,2025-08-20_7th_volleyball.jpg,83f8d12c-b6a9-4836-a6b1-2a600a476de2
2025-08-25,08/25,2025,Fall,Volleyball,volleyball,Girls,7th,7th Grade,volleyball-7th-grade,05:00 PM,Away,'@,Lakeview,Bulldogs,Lakeview Bulldogs,LAKEVIEW MIDDLE SCHOOL,Game,false,false,false,true,2025-08-25_7th_volleyball,2025-08-25_7th_volleyball.jpg,2592a65b-1138-41bb-a95f-bf2e96cddd8e
2025-08-27,08/27,2025,Fall,Volleyball,volleyball,Girls,7th,7th Grade,volleyball-7th-grade,05:00 PM,Away,'@,Girard Sr High School,,Girard Sr High School,Girard Sr High School,Game,false,false,false,false,2025-08-27_7th_volleyball,2025-08-27_7th_volleyball.jpg,e2b7bccb-ba17-4666-bacc-33d770cf996d
2025-09-02,09/02,2025,Fall,Volleyball,volleyball,Girls,7th,7th Grade,volleyball-7th-grade,05:00 PM,Away,'@,Hubbard,Eagles,Hubbard Eagles,Hubbard MS,Game,false,false,false,true,2025-09-02_7th_volleyball,2025-09-02_7th_volleyball.jpg,d59f3dcc-9320-4ffd-a441-b2423157525b
2025-09-04,09/04,2025,Fall,Volleyball,volleyball,Girls,7th,7th Grade,volleyball-7th-grade,05:00 PM,Home,vs,Boardman,Spartans,Boardman Spartans,Poland Middle School,Game,false,false,false,false,2025-09-04_7th_volleyball,2025-09-04_7th_volleyball.jpg,db6c5cc3-db8d-49e8-8c4b-de77a3dd6d46
2025-09-04,09/04,2025,Fall,Football,football,Boys,7th,7th Grade,football-7th-grade,06:15 PM,Away,'@,Struthers,Wildcats,Struthers Wildcats,STRUTHERS MIDDLE SCHOOL,Game,false,false,false,true,2025-09-04_7th_football,2025-09-04_7th_football.jpg,15b6c203-7195-44c4-a5f5-959304012789
2025-09-08,09/08,2025,Fall,Volleyball,volleyball,Girls,7th,7th Grade,volleyball-7th-grade,05:00 PM,Home,vs,Struthers,Wildcats,Struthers Wildcats,Poland Middle School,Game,false,false,false,true,2025-09-08_7th_volleyball,2025-09-08_7th_volleyball.jpg,9c247730-b38d-417c-bcb3-60cbb378cc5a
2025-09-10,09/10,2025,Fall,Volleyball,volleyball,Girls,7th,7th Grade,volleyball-7th-grade,05:00 PM,Away,'@,Niles,Red Dragons,Niles Red Dragons,Niles Middle School,Game,false,false,false,true,2025-09-10_7th_volleyball,2025-09-10_7th_volleyball.jpg,99a2b944-48d4-4a81-85dd-b5e8cc89637f
