eventDate,cleanDate,season,seasonType,sport,sportSlug,gender,levelSlug,levelLabel,teamSlug,eventTime,homeOrAway,vsOrAt,opponent,opponentMascot,opponentComplete,location,eventType,isCancelled,isPostponed,isTimeTBD,conferenceGame,postSlug,posterFile,eventId
2025-10-06,10/06,2025,Fall,Volleyball,volleyball,Girls,jv,JV,volleyball-junior-varsity,06:00 PM,Away,'@,Springfield,Tigers,Springfield Tigers,Springfield High School,Game,false,false,false,false,2025-10-06_jv_volleyball,2025-10-06_jv_volleyball.jpg,5561fa27-3c81-4583-abba-6a9f208eafb8
2025-10-09,10/09,2025,Fall,Volleyball,volleyball,Girls,jv,JV,volleyball-junior-varsity,05:30 PM,Home,vs,Howland,Tigers,Howland Tigers,Poland Seminary High School,Game,false,false,false,false,2025-10-09_jv_volleyball,2025-10-09_jv_volleyball.jpg,1a5fbd0c-bffe-4e81-a2ea-da8be383430b
2026-08-24,08/24,2026,Fall,Volleyball,volleyball,Girls,jv,JV,volleyball-junior-varsity,05:30 PM,Home,vs,Campbell,Red Devils,Campbell Red Devils,Poland Seminary High School,Game,false,false,false,false,2026-08-24_jv_volleyball,2026-08-24_jv_volleyball.jpg,6bb76fde-1715-4f8a-b507-758990432559
2026-08-25,08/25,2026,Fall,Volleyball,volleyball,Girls,jv,JV,volleyball-junior-varsity,05:30 PM,Away,'@,Lakeview,Bulldogs,Lakeview Bulldogs,Lakeview High School,Game,false,false,false,true,2026-08-25_jv_volleyball,2026-08-25_jv_volleyball.jpg,06b2a440-3c01-434d-9add-bfcaec605434
2026-08-27,08/27,2026,Fall,Volleyball,volleyball,Girls,jv,JV,volleyball-junior-varsity,05:30 PM,Home,vs,South Range,Raiders,South Range Raiders,Poland Seminary High School,Game,false,false,false,true,2026-08-27_jv_volleyball,2026-08-27_jv_volleyball.jpg,117627f3-5fa6-4ae8-8669-daba52be6792
2026-08-31,08/31,2026,Fall,Volleyball,volleyball,Girls,jv,JV,volleyball-junior-varsity,05:30 PM,Away,'@,Howland,Tigers,Howland Tigers,Howland High School,Game,false,false,false,false,2026-08-31_jv_volleyball,2026-08-31_jv_volleyball.jpg,e8e00dd8-4001-4901-9fdb-2c4afb91caf0
2026-09-01,09/01,2026,Fall,Volleyball,volleyball,Girls,jv,JV,volleyball-junior-varsity,05:30 PM,Home,vs,Girard,Indians,Girard Indians,Poland Seminary High School,Game,false,false,false,true,2026-09-01_jv_volleyball,2026-09-01_jv_volleyball.jpg,99cd50fe-7612-4ad0-8229-05f9fdef61e7
2026-09-03,09/03,2026,Fall,Volleyball,volleyball,Girls,jv,JV,volleyball-junior-varsity,05:30 PM,Away,'@,Hubbard,Eagles,Hubbard Eagles,Hubbard High School,Game,false,false,false,true,2026-09-03_jv_volleyball,2026-09-03_jv_volleyball.jpg,17c730e7-77f1-4974-bd44-c166b3a1522b
2026-09-08,09/08,2026,Fall,Volleyball,volleyball,Girls,jv,JV,volleyball-junior-varsity,05:30 PM,Home,vs,Boardman,Spartans,Boardman Spartans,Poland Seminary High School,Game,false,false,false,false,2026-09-08_jv_volleyball,2026-09-08_jv_volleyball.jpg,42c4264b-5d2e-4102-9c47-b6a47934a00d
2026-09-10,09/10,2026,Fall,Volleyball,volleyball,Girls,jv,JV,volleyball-junior-varsity,05:30 PM,Home,vs,Struthers,Wildcats,Struthers Wildcats,Poland Seminary High School,Game,false,false,false,true,2026-09-10_jv_volleyball,2026-09-10_jv_volleyball.jpg,1c2cb43e-83b8-4c2c-b06f-ed0918a82e14
2026-09-14,09/14,2026,Fall,Volleyball,volleyball,Girls,jv,JV,volleyball-junior-varsity,05:30 PM,Away,'@,United,Golden Eagles,United Golden Eagles,United High School,Game,false,false,false,false,2026-09-14_jv_volleyball,2026-09-14_jv_volleyball.jpg,4fb4a85b-8750-4dcf-b272-0e8c07b8e1af
2026-09-15,09/15,2026,Fall,Volleyball,volleyball,Girls,jv,JV,volleyball-junior-varsity,05:30 PM,Away,'@,Niles,Red Dragons,Niles Red Dragons,Niles McKinley High School,Game,false,false,false,true,2026-09-15_jv_volleyball,2026-09-15_jv_volleyball.jpg,3fe20fa2-480b-4761-95de-84618afc4877
2026-09-17,09/17,2026,Fall,Volleyball,volleyball,Girls,jv,JV,volleyball-junior-varsity,05:30 PM,Home,vs,Lakeview,Bulldogs,Lakeview Bulldogs,Poland Seminary High School,Game,false,false,false,true,2026-09-17_jv_volleyball,2026-09-17_jv_volleyball.jpg,7bcbeca2-c9e6-4f2e-aeee-dacd1c666cb0
2026-09-21,09/21,2026,Fall,Volleyball,volleyball,Girls,jv,JV,volleyball-junior-varsity,05:30 PM,Home,vs,Canfield,Cardinals,Canfield Cardinals,Poland Seminary High School,Game,false,false,false,false,2026-09-21_jv_volleyball,2026-09-21_jv_volleyball.jpg,1bdbe52b-e198-4348-bb87-a8302f0df560
2026-09-22,09/22,2026,Fall,Volleyball,volleyball,Girls,jv,JV,volleyball-junior-varsity,05:30 PM,Away,'@,South Range,Raiders,South Range Raiders,South Range High School,Game,false,false,false,true,2026-09-22_jv_volleyball,2026-09-22_jv_volleyball.jpg,e2acd6ea-30d7-454e-ba0a-ca1a03a1bf38
2026-09-24,09/24,2026,Fall,Volleyball,volleyball,Girls,jv,JV,volleyball-junior-varsity,05:30 PM,Away,'@,Girard,Indians,Girard Indians,Girard Sr High School,Game,false,false,false,true,2026-09-24_jv_volleyball,2026-09-24_jv_volleyball.jpg,5e636741-37cf-4a9a-8c01-eb23ad49dc51
2026-09-28,09/28,2026,Fall,Volleyball,volleyball,Girls,jv,JV,volleyball-junior-varsity,05:30 PM,Away,'@,Champion,Golden Flashes,Champion Golden Flashes,Champion High School,Game,false,false,false,false,2026-09-28_jv_volleyball,2026-09-28_jv_volleyball.jpg,3217be71-c9f6-4061-bba6-7fcef996752c
2026-09-29,09/29,2026,Fall,Volleyball,volleyball,Girls,jv,JV,volleyball-junior-varsity,05:30 PM,Home,vs,Hubbard,Eagles,Hubbard Eagles,Poland Seminary High School,Game,false,false,false,true,2026-09-29_jv_volleyball,2026-09-29_jv_volleyball.jpg,750987b3-95c1-46d6-bf58-72d3118476c6
2026-10-05,10/05,2026,Fall,Volleyball,volleyball,Girls,jv,JV,volleyball-junior-varsity,05:30 PM,Home,vs,Springfield,Tigers,Springfield Tigers,Poland Seminary High School,Game,false,false,false,false,2026-10-05_jv_volleyball,2026-10-05_jv_volleyball.jpg,65b53e57-b723-4dca-943f-99d4320dcc35
2026-10-06,10/06,2026,Fall,Volleyball,volleyball,Girls,jv,JV,volleyball-junior-varsity,05:30 PM,Away,'@,Struthers,Wildcats,Struthers Wildcats,Struthers High School,Game,false,false,false,true,2026-10-06_jv_volleyball,2026-10-06_jv_volleyball.jpg,da4a121d-66c1-4757-9883-43808cfc5b20
2026-10-08,10/08,2026,Fall,Volleyball,volleyball,Girls,jv,JV,volleyball-junior-varsity,05:30 PM,Home,vs,Niles,Red Dragons,Niles Red Dragons,Poland Seminary High School,Game,false,false,false,true,2026-10-08_jv_volleyball,2026-10-08_jv_volleyball.jpg,64704680-e183-4d16-ae09-bb8d77034510
2026-10-10,10/10,2026,Fall,Volleyball,volleyball,Girls,jv,JV,volleyball-junior-varsity,10:00 AM,Away,'@,Columbiana,Clippers,Columbiana Clippers,Columbiana High School,Game,false,false,false,false,2026-10-10_jv_volleyball,2026-10-10_jv_volleyball.jpg,0b43a1b0-33f2-4001-8f10-3cbaf64f31fa
