eventDate,cleanDate,season,seasonType,sport,sportSlug,gender,levelSlug,levelLabel,teamSlug,eventTime,homeOrAway,vsOrAt,opponent,opponentMascot,opponentComplete,location,eventType,isCancelled,isPostponed,isTimeTBD,conferenceGame,postSlug,posterFile,eventId
2026-12-07,12/07,2026-2027,Winter,Girls Basketball,girls-basketball,Girls,7th,7th Grade,girls-basketball-7th-grade,05:00 PM,Away,'@,South Range,Raiders,South Range Raiders,South Range Middle School,Game,false,false,false,true,2026-12-07_7th_girls-basketball,2026-12-07_7th_girls-basketball.jpg,94b32adc-808d-4fe1-9cd9-18d6ad1a6703
2026-12-09,12/09,2026-2027,Winter,Girls Basketball,girls-basketball,Girls,7th,7th Grade,girls-basketball-7th-grade,05:00 PM,Home,vs,Struthers,Wildcats,Struthers Wildcats,Poland Seminary High School,Game,false,false,false,true,2026-12-09_7th_girls-basketball,2026-12-09_7th_girls-basketball.jpg,777b4574-471b-4201-aae5-ba02a8d4a6c4
2026-12-14,12/14,2026-2027,Winter,Girls Basketball,girls-basketball,Girls,7th,7th Grade,girls-basketball-7th-grade,05:00 PM,Home,vs,Niles,Red Dragons,Niles Red Dragons,Poland Seminary High School,Game,false,false,false,true,2026-12-14_7th_girls-basketball,2026-12-14_7th_girls-basketball.jpg,980cff5e-cd73-43c1-8784-9be620f7548e
2026-12-16,12/16,2026-2027,Winter,Girls Basketball,girls-basketball,Girls,7th,7th Grade,girls-basketball-7th-grade,05:00 PM,Home,vs,Lakeview,Bulldogs,Lakeview Bulldogs,Poland Seminary High School,Game,false,false,false,true,2026-12-16_7th_girls-basketball,2026-12-16_7th_girls-basketball.jpg,0d3dc8ba-7370-4185-94d4-7ddee014dd5e
2026-12-21,12/21,2026-2027,Winter,Girls Basketball,girls-basketball,Girls,7th,7th Grade,girls-basketball-7th-grade,05:00 PM,Home,vs,Girard Sr High School,,Girard Sr High School,Poland Seminary High School,Game,false,false,false,false,2026-12-21_7th_girls-basketball,2026-12-21_7th_girls-basketball.jpg,56205abd-f1d6-482f-ab3c-301c47473d75
2026-12-23,12/23,2026-2027,Winter,Girls Basketball,girls-basketball,Girls,7th,7th Grade,girls-basketball-7th-grade,05:00 PM,Away,'@,Boardman,Spartans,Boardman Spartans,GLENWOOD MIDDLE SCHOOL,Game,false,false,false,false,2026-12-23_7th_girls-basketball,2026-12-23_7th_girls-basketball.jpg,8c3bb36e-5ae3-4a89-913e-0d20d645222d
2027-01-06,01/06,2026-2027,Winter,Girls Basketball,girls-basketball,Girls,7th,7th Grade,girls-basketball-7th-grade,05:00 PM,Away,'@,Hubbard,Eagles,Hubbard Eagles,Hubbard MS,Game,false,false,false,true,2027-01-06_7th_girls-basketball,2027-01-06_7th_girls-basketball.jpg,629f46bc-7d8e-48d4-a2c8-f1c02253a7cc
2027-01-11,01/11,2026-2027,Winter,Girls Basketball,girls-basketball,Girls,7th,7th Grade,girls-basketball-7th-grade,05:00 PM,Away,'@,Struthers,Wildcats,Struthers Wildcats,STRUTHERS MIDDLE SCHOOL,Game,false,false,false,true,2027-01-11_7th_girls-basketball,2027-01-11_7th_girls-basketball.jpg,dfdb22c7-f99b-41c0-aee7-4e8395159e3a
2027-01-13,01/13,2026-2027,Winter,Girls Basketball,girls-basketball,Girls,7th,7th Grade,girls-basketball-7th-grade,05:00 PM,Home,vs,South Range,Raiders,South Range Raiders,Poland Seminary High School,Game,false,false,false,true,2027-01-13_7th_girls-basketball,2027-01-13_7th_girls-basketball.jpg,2cfd8198-adc9-4e49-8135-6a45b447fb30
2027-01-20,01/20,2026-2027,Winter,Girls Basketball,girls-basketball,Girls,7th,7th Grade,girls-basketball-7th-grade,05:00 PM,Away,'@,Niles,Red Dragons,Niles Red Dragons,Niles Middle School,Game,false,false,false,true,2027-01-20_7th_girls-basketball,2027-01-20_7th_girls-basketball.jpg,e465bd9c-d643-4b31-8662-aff5f3e90acc
2027-01-25,01/25,2026-2027,Winter,Girls Basketball,girls-basketball,Girls,7th,7th Grade,girls-basketball-7th-grade,05:00 PM,Away,'@,Lakeview,Bulldogs,Lakeview Bulldogs,LAKEVIEW MIDDLE SCHOOL,Game,false,false,false,true,2027-01-25_7th_girls-basketball,2027-01-25_7th_girls-basketball.jpg,309b1f10-8a97-4eb7-bdfa-216e67fbdc35
2027-01-27,01/27,2026-2027,Winter,Girls Basketball,girls-basketball,Girls,7th,7th Grade,girls-basketball-7th-grade,05:00 PM,Away,'@,Girard Sr High School,,Girard Sr High School,Girard Sr High School,Game,false,false,false,false,2027-01-27_7th_girls-basketball,2027-01-27_7th_girls-basketball.jpg,da7984eb-fd4d-47f9-a842-1e2f22c51c46
2027-02-03,02/03,2026-2027,Winter,Girls Basketball,girls-basketball,Girls,7th,7th Grade,girls-basketball-7th-grade,05:00 PM,Home,vs,Hubbard,Eagles,Hubbard Eagles,Poland Seminary High School,Game,false,false,false,true,2027-02-03_7th_girls-basketball,2027-02-03_7th_girls-basketball.jpg,64fc1751-3405-463a-9932-2c7a608a4fa4
2027-02-04,02/04,2026-2027,Winter,Girls Basketball,girls-basketball,Girls,7th,7th Grade,girls-basketball-7th-grade,05:30 PM,Away,'@,Canfield,Cardinals,Canfield Cardinals,CANFIELD VILLAGE MIDDLE SCHOOL,Game,false,false,false,false,2027-02-04_7th_girls-basketball,2027-02-04_7th_girls-basketball.jpg,ef311059-942d-42d5-bd67-fc5d8fdeee61
2027-02-06,02/06,2026-2027,Winter,Girls Basketball,girls-basketball,Girls,7th,7th Grade,girls-basketball-7th-grade,TBA,Away,'@,North East 8 Basketball Tournament,,North East 8 Basketball Tournament,South Range Middle School,Game,false,false,true,false,2027-02-06_7th_girls-basketball,2027-02-06_7th_girls-basketball.jpg,6828ed6e-210c-4785-b6e3-7f2ad853f195
